Default Report,,,,,5,4,3,2,1
Last Modified: 2017-01-30 16:16:47 MST,,,,,153,137,66,60,64
,,,,,,,,,
,,,,,,,,,
Q1 - Here is a true caption of a photo: ,,,,,,,,,
 two women stand in a kitchen and wipe down trays.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
 two women are in the kitchen.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.17%,1,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,20.83%,5,,,,,,
5,Very Likely,75.00%,18,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q18 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 a wet child stands in chest deep ocean water.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A child is is in the water.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,33.33%,8,,,,,,
5,Very Likely,58.33%,14,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q19 - Here is a true caption of a photo: ,,,,,,,,,
 two little boys are standing in a kitchen.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the boys are not happy.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,20.83%,5,,,,,,
3,Neither likely nor unlikely,54.17%,13,,,,,,
4,Likely,4.17%,1,,,,,,
5,Very Likely,12.50%,3,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q20 - Here is a true caption of a photo: ,,,,,,,,,
a couple sits in the grass. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
couple are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,29.17%,7,,,,,,
5,Very Likely,54.17%,13,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q21 - Here is a true caption of a photo: ,,,,,,,,,
3 people on plain boats smiling towards the camera. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a are camera on the boat.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,37.50%,9,,,,,,
2,Unlikely,4.17%,1,,,,,,
3,Neither likely nor unlikely,25.00%,6,,,,,,
4,Likely,12.50%,3,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q22 - Here is a true caption of a photo: ,,,,,,,,,
3 olympic winners posing for a photo on an advertised background.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a people are posing their picture taken.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,12.50%,3,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,29.17%,7,,,,,,
5,Very Likely,50.00%,12,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q23 - Here is a true caption of a photo: ,,,,,,,,,
the large white bird grazes the water.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the bird is is the water.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,16.67%,4,,,,,,
2,Unlikely,29.17%,7,,,,,,
3,Neither likely nor unlikely,4.17%,1,,,,,,
4,Likely,29.17%,7,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
a black dog with a blue collar is jumping into the water.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a dog is is to get wet.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,25.00%,6,,,,,,
5,Very Likely,54.17%,13,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
the dogs are playing on the bed. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
dogs playing together together.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,8.33%,2,,,,,,
4,Likely,50.00%,12,,,,,,
5,Very Likely,33.33%,8,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q26 - Here is a true caption of a photo: ,,,,,,,,,
these girls are having a great time looking for seashells.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the girls looking together.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,29.17%,7,,,,,,
4,Likely,41.67%,10,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q16 - Here is a true caption of a photo: ,,,,,,,,,
 swimming in the wide blue ocean.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
 person is swimming wet and swimming in ocean.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.17%,1,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,4.17%,1,,,,,,
4,Likely,29.17%,7,,,,,,
5,Very Likely,54.17%,13,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q17 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 a girl bounces in a bounce house.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
a girl is bounces indoors.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,12.50%,3,,,,,,
2,Unlikely,29.17%,7,,,,,,
3,Neither likely nor unlikely,16.67%,4,,,,,,
4,Likely,20.83%,5,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q18 - Here is a true caption of a photo: ,,,,,,,,,
 people are shopping for vegetables at an outdoor market.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
shopping shopping at market and shopping at the market.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,12.50%,3,,,,,,
2,Unlikely,8.33%,2,,,,,,
3,Neither likely nor unlikely,16.67%,4,,,,,,
4,Likely,45.83%,11,,,,,,
5,Very Likely,16.67%,4,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q19 - Here is a true caption of a photo: ,,,,,,,,,
a brown and black attack dog being trained by a man holding a stick. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a dog is being are by a dog.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,33.33%,8,,,,,,
2,Unlikely,29.17%,7,,,,,,
3,Neither likely nor unlikely,20.83%,5,,,,,,
4,Likely,8.33%,2,,,,,,
5,Very Likely,8.33%,2,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q20 - Here is a true caption of a photo: ,,,,,,,,,
the bears are facing each other with their mouths open.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
two bears are are in each other in other open.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,41.67%,10,,,,,,
2,Unlikely,16.67%,4,,,,,,
3,Neither likely nor unlikely,20.83%,5,,,,,,
4,Likely,20.83%,5,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q21 - Here is a true caption of a photo: ,,,,,,,,,
a rescue worker searches with a flashlight under a slab in a ruined building.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a worker is a heavy hole.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,37.50%,9,,,,,,
2,Unlikely,12.50%,3,,,,,,
3,Neither likely nor unlikely,25.00%,6,,,,,,
4,Likely,16.67%,4,,,,,,
5,Very Likely,8.33%,2,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q22 - Here is a true caption of a photo: ,,,,,,,,,
a big dog and a smaller dog fight over a piece of fabric.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
two is playing with a piece of fabric.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.17%,1,,,,,,
2,Unlikely,29.17%,7,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,37.50%,9,,,,,,
5,Very Likely,16.67%,4,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q23 - Here is a true caption of a photo: ,,,,,,,,,
band plays in tight quarters.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a band is plays.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,12.50%,3,,,,,,
2,Unlikely,12.50%,3,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,50.00%,12,,,,,,
5,Very Likely,12.50%,3,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
numerous customers browsing for produce in a market ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
customers are browsing.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,20.83%,5,,,,,,
5,Very Likely,79.17%,19,,,,,,
,Total,100%,24,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
a man in a yellow shirt and helmet mountain biking down a dusty path.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a man is is down a path.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.33%,2,,,,,,
2,Unlikely,12.50%,3,,,,,,
3,Neither likely nor unlikely,12.50%,3,,,,,,
4,Likely,45.83%,11,,,,,,
5,Very Likely,20.83%,5,,,,,,
,Total,100%,24,,,,,,
